1,1,3.437083333333333E-4,MyAgent@6,(Offer  bid:Bid[Pie: a1000])
1,2,3.683133333333333E-4,BoulwareNegotiationParty@7,(Offer  bid:Bid[Pie: a0])
2,1,6.007033333333334E-4,MyAgent@6,(Offer  bid:Bid[Pie: a1000])
2,2,6.288566666666667E-4,BoulwareNegotiationParty@7,(Offer  bid:Bid[Pie: a0])
3,1,8.806966666666667E-4,MyAgent@6,(Offer  bid:Bid[Pie: a1000])
3,2,9.025183333333333E-4,BoulwareNegotiationParty@7,(Offer  bid:Bid[Pie: a0])
4,1,0.0011914150000000001,MyAgent@6,(Offer  bid:Bid[Pie: a1000])
4,2,0.0012089183333333334,BoulwareNegotiationParty@7,(Offer  bid:Bid[Pie: a0])
5,1,0.0014380116666666666,MyAgent@6,(Offer  bid:Bid[Pie: a1000])
5,2,0.001455715,BoulwareNegotiationParty@7,(Offer  bid:Bid[Pie: a0])
6,1,0.0017725216666666665,MyAgent@6,(Offer  bid:Bid[Pie: a1000])
6,2,0.0017890933333333332,BoulwareNegotiationParty@7,(Offer  bid:Bid[Pie: a0])
7,1,0.002131545,MyAgent@6,(Offer  bid:Bid[Pie: a1000])
7,2,0.0021610816666666668,BoulwareNegotiationParty@7,(Offer  bid:Bid[Pie: a0])
8,1,0.002500095,MyAgent@6,(Offer  bid:Bid[Pie: a1000])
8,2,0.0025192,BoulwareNegotiationParty@7,(Offer  bid:Bid[Pie: a0])
9,1,0.0028722583333333335,MyAgent@6,(Offer  bid:Bid[Pie: a1000])
9,2,0.00289484,BoulwareNegotiationParty@7,(Offer  bid:Bid[Pie: a0])
10,1,0.0031582233333333335,MyAgent@6,(Offer  bid:Bid[Pie: a1000])
10,2,0.0031734533333333333,BoulwareNegotiationParty@7,(Offer  bid:Bid[Pie: a0])
11,1,0.0034232516666666667,MyAgent@6,(Offer  bid:Bid[Pie: a1000])
11,2,0.0034389633333333333,BoulwareNegotiationParty@7,(Offer  bid:Bid[Pie: a0])
12,1,0.0037154633333333336,MyAgent@6,(Offer  bid:Bid[Pie: a1000])
12,2,0.00373173,BoulwareNegotiationParty@7,(Offer  bid:Bid[Pie: a0])
