1,1,6.2155E-5,MyAgent@16,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
1,2,1.0499E-4,TimeDependentAgentLinear@17,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
2,1,1.2663E-4,MyAgent@16,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
2,2,1.544833333333333E-4,TimeDependentAgentLinear@17,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
3,1,1.7240833333333333E-4,MyAgent@16,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
3,2,1.9907E-4,TimeDependentAgentLinear@17,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
4,1,2.1935000000000002E-4,MyAgent@16,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
4,2,2.3725333333333333E-4,TimeDependentAgentLinear@17,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
5,1,2.6046166666666667E-4,MyAgent@16,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
5,2,2.8293666666666666E-4,TimeDependentAgentLinear@17,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
6,1,2.971916666666667E-4,MyAgent@16,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
6,2,3.1152333333333334E-4,TimeDependentAgentLinear@17,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
7,1,3.2406666666666667E-4,MyAgent@16,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
7,2,3.3734E-4,TimeDependentAgentLinear@17,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
8,1,3.4993E-4,MyAgent@16,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
8,2,3.633283333333334E-4,TimeDependentAgentLinear@17,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
9,1,3.782533333333333E-4,MyAgent@16,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
9,2,3.9637166666666666E-4,TimeDependentAgentLinear@17,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
