1,1,0.01639344262295082,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
1,2,0.01639344262295082,BayesianAgent@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
2,1,0.03278688524590164,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
2,2,0.03278688524590164,BayesianAgent@3,(Offer  bid:Bid[price: 1400, HardDisk: 1TB, Monitor: 15])
3,1,0.04918032786885246,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
3,2,0.04918032786885246,BayesianAgent@3,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 15])
4,1,0.06557377049180328,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
4,2,0.06557377049180328,BayesianAgent@3,(Offer  bid:Bid[price: 1400, HardDisk: 512GB, Monitor: 15])
5,1,0.08196721311475409,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
5,2,0.08196721311475409,BayesianAgent@3,(Offer  bid:Bid[price: 1000, HardDisk: 256GB, Monitor: 15])
6,1,0.09836065573770492,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
6,2,0.09836065573770492,BayesianAgent@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 17])
7,1,0.11475409836065574,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
7,2,0.11475409836065574,BayesianAgent@3,(Offer  bid:Bid[price: 1200, HardDisk: 1TB, Monitor: 15])
8,1,0.13114754098360656,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
8,2,0.13114754098360656,BayesianAgent@3,(Accept  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
agreement,Bid[price: 1000, HardDisk: 1TB, Monitor: 15],1.0,0.19941884181157893
