1,1,6.019E-4,MyAgent@14,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
1,2,9.3595E-4,TimeDependentAgentLinear@15,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
2,1,0.00105756,MyAgent@14,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
2,2,0.00123073,TimeDependentAgentLinear@15,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
3,1,0.00137623,MyAgent@14,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
3,2,0.00148997,TimeDependentAgentLinear@15,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
4,1,0.0016747,MyAgent@14,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
4,2,0.0017975399999999998,TimeDependentAgentLinear@15,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
5,1,0.0019371800000000002,MyAgent@14,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
5,2,0.0020289600000000002,TimeDependentAgentLinear@15,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
6,1,0.00212252,MyAgent@14,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
6,2,0.00220608,TimeDependentAgentLinear@15,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
7,1,0.002284,MyAgent@14,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
7,2,0.0023856,TimeDependentAgentLinear@15,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
8,1,0.00248163,MyAgent@14,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
8,2,0.00257063,TimeDependentAgentLinear@15,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
9,1,0.0026509000000000003,MyAgent@14,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
9,2,0.00274257,TimeDependentAgentLinear@15,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
10,1,0.00282722,MyAgent@14,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
10,2,0.00291691,TimeDependentAgentLinear@15,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
11,1,0.00300948,MyAgent@14,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
11,2,0.00311675,TimeDependentAgentLinear@15,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
12,1,0.00322226,MyAgent@14,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
12,2,0.0033749,TimeDependentAgentLinear@15,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
13,1,0.0034656,MyAgent@14,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
13,2,0.00359982,TimeDependentAgentLinear@15,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
14,1,0.0037170799999999998,MyAgent@14,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
14,2,0.0038087999999999998,TimeDependentAgentLinear@15,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
15,1,0.0038962,MyAgent@14,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
15,2,0.00406461,TimeDependentAgentLinear@15,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
16,1,0.00422345,MyAgent@14,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
16,2,0.00432089,TimeDependentAgentLinear@15,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
17,1,0.00440531,MyAgent@14,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
17,2,0.00449215,TimeDependentAgentLinear@15,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
