1,1,2.71665E-4,Agent46@0,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
1,2,4.981083333333333E-4,KLH@1,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
2,1,5.7363E-4,Agent46@0,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
2,2,6.783233333333333E-4,KLH@1,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
3,1,7.438066666666666E-4,Agent46@0,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
3,2,8.017683333333333E-4,KLH@1,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
4,1,9.099716666666667E-4,Agent46@0,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
4,2,9.756616666666667E-4,KLH@1,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
5,1,0.0011088083333333333,Agent46@0,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
5,2,0.0011986283333333334,KLH@1,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
6,1,0.0012340416666666667,Agent46@0,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
6,2,0.00128618,KLH@1,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
7,1,0.00133266,Agent46@0,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
7,2,0.0014088133333333335,KLH@1,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
8,1,0.0014479783333333333,Agent46@0,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
8,2,0.0014912233333333332,KLH@1,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
9,1,0.0015347533333333334,Agent46@0,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
9,2,0.0016572516666666667,KLH@1,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
10,1,0.001782625,Agent46@0,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
10,2,0.0018307983333333334,KLH@1,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
11,1,0.0018695516666666666,Agent46@0,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
11,2,0.00191625,KLH@1,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
12,1,0.0020509300000000003,Agent46@0,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
12,2,0.002107016666666667,KLH@1,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
13,1,0.0021432816666666662,Agent46@0,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
13,2,0.002191265,KLH@1,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
14,1,0.0022285883333333337,Agent46@0,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
14,2,0.0022622933333333334,KLH@1,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
15,1,0.0022919466666666668,Agent46@0,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
15,2,0.0023458816666666665,KLH@1,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
16,1,0.002385691666666667,Agent46@0,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
16,2,0.0024640666666666667,KLH@1,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
17,1,0.0025210583333333332,Agent46@0,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
17,2,0.002560405,KLH@1,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
18,1,0.0025982166666666667,Agent46@0,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
18,2,0.0026563883333333336,KLH@1,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
19,1,0.002701606666666667,Agent46@0,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
